Invoice_ID,Vendor_ID,Invoice_Date,Total_Amount,Currency,Status,Exchange_Rate,Total_Amount_INR
INV-00001,VEND-019,2023-01-01,929.46,USD,Paid,82.5,76680.45
INV-00002,VEND-008,2023-01-02,621.19,USD,Paid,82.5,51248.175
INV-00003,VEND-016,2023-01-03,3375.33,USD,Paid,82.5,278464.725
INV-00004,VEND-002,2023-01-04,4188.03,GBP,Paid,102.0,427179.06
INV-00005,VEND-004,2023-01-05,3504.2,GBP,Pending,102.0,357428.39999999997
INV-00006,VEND-005,2023-01-06,3560.7,USD,Paid,82.5,293757.75
INV-00007,VEND-020,2023-01-07,1820.56,USD,Paid,82.5,150196.19999999998
INV-00008,VEND-002,2023-01-08,1040.28,USD,Pending,82.5,85823.09999999999
INV-00009,VEND-011,2023-01-09,2689.64,USD,Paid,82.5,221895.3
INV-00010,VEND-004,2023-01-10,817.4,USD,Paid,82.5,67435.5
INV-00011,VEND-003,2023-01-11,3183.64,EUR,Pending,89.0,283343.95999999996
INV-00012,VEND-018,2023-01-12,2017.95,EUR,Paid,89.0,179597.55000000002
INV-00013,VEND-012,2023-01-13,656.04,USD,Paid,82.5,54123.299999999996
INV-00014,VEND-003,2023-01-14,4930.19,USD,Pending,82.5,406740.675
INV-00015,VEND-014,2023-01-15,3627.56,USD,Paid,82.5,299273.7
INV-00016,VEND-010,2023-01-16,3253.52,USD,Paid,82.5,268415.4
INV-00017,VEND-009,2023-01-17,1019.39,EUR,Paid,89.0,90725.70999999999
INV-00018,VEND-015,2023-01-18,4358.62,USD,Paid,82.5,359586.14999999997
INV-00019,VEND-007,2023-01-19,3569.22,GBP,Paid,102.0,364060.44
INV-00020,VEND-005,2023-01-20,4804.82,EUR,Paid,89.0,427628.98
INV-00021,VEND-020,2023-01-21,4195.29,USD,Pending,82.5,346111.425
INV-00022,VEND-007,2023-01-22,4977.38,USD,Paid,82.5,410633.85000000003
INV-00023,VEND-007,2023-01-23,2776.26,EUR,Pending,89.0,247087.14
INV-00024,VEND-020,2023-01-24,4972.73,USD,Pending,82.5,410250.225
INV-00025,VEND-001,2023-01-25,746.46,GBP,Paid,102.0,76138.92
INV-00026,VEND-010,2023-01-26,1167.53,USD,Paid,82.5,96321.22499999999
INV-00027,VEND-005,2023-01-27,1660.81,USD,Pending,82.5,137016.82499999998
INV-00028,VEND-006,2023-01-28,2713.67,USD,Paid,82.5,223877.775
INV-00029,VEND-018,2023-01-29,847.73,EUR,Paid,89.0,75447.97
INV-00030,VEND-020,2023-01-30,2959.88,USD,Paid,82.5,244190.1
INV-00031,VEND-016,2023-01-31,1954.83,USD,Paid,82.5,161273.475
INV-00032,VEND-015,2023-02-01,1523.48,EUR,Paid,89.0,135589.72
INV-00033,VEND-018,2023-02-02,2949.74,USD,Paid,82.5,243353.55
INV-00034,VEND-007,2023-02-03,2775.22,USD,Paid,82.5,228955.65
INV-00035,VEND-009,2023-02-04,1742.47,EUR,Paid,89.0,155079.83000000002
INV-00036,VEND-002,2023-02-05,1386.5,USD,Pending,82.5,114386.25
INV-00037,VEND-004,2023-02-06,4552.06,USD,Paid,82.5,375544.95
INV-00038,VEND-002,2023-02-07,1613.18,USD,Pending,82.5,133087.35
INV-00039,VEND-008,2023-02-08,2151.81,GBP,Paid,102.0,219484.62
INV-00040,VEND-005,2023-02-09,2169.05,USD,Paid,82.5,178946.62500000003
INV-00041,VEND-014,2023-02-10,643.28,USD,Pending,82.5,53070.6
INV-00042,VEND-001,2023-02-11,2545.94,EUR,Pending,89.0,226588.66
