Payment_ID,Invoice_ID,Payment_Date,Payment_Amount,Method
PAY-00001,INV-00001,2023-01-02,929.46,PayPal
PAY-00002,INV-00002,2023-01-03,621.19,Credit Card
PAY-00003,INV-00003,2023-01-04,3375.33,PayPal
PAY-00004,INV-00004,2023-01-05,4188.03,Credit Card
PAY-00005,INV-00006,2023-01-06,3560.7,Credit Card
PAY-00006,INV-00007,2023-01-07,1820.56,PayPal
PAY-00007,INV-00009,2023-01-08,2689.64,PayPal
PAY-00008,INV-00010,2023-01-09,817.4,PayPal
PAY-00009,INV-00012,2023-01-10,2017.95,PayPal
PAY-00010,INV-00013,2023-01-11,656.04,Credit Card
PAY-00011,INV-00015,2023-01-12,3627.56,PayPal
PAY-00012,INV-00016,2023-01-13,3253.52,PayPal
PAY-00013,INV-00017,2023-01-14,1019.39,Bank Transfer
PAY-00014,INV-00018,2023-01-15,4358.62,Bank Transfer
PAY-00015,INV-00019,2023-01-16,3569.22,PayPal
PAY-00016,INV-00020,2023-01-17,4804.82,Credit Card
PAY-00017,INV-00022,2023-01-18,4977.38,Bank Transfer
PAY-00018,INV-00025,2023-01-19,746.46,Bank Transfer
PAY-00019,INV-00026,2023-01-20,1167.53,Bank Transfer
PAY-00020,INV-00028,2023-01-21,2713.67,Credit Card
PAY-00021,INV-00029,2023-01-22,847.73,Bank Transfer
PAY-00022,INV-00030,2023-01-23,2959.88,PayPal
PAY-00023,INV-00031,2023-01-24,1954.83,PayPal
PAY-00024,INV-00032,2023-01-25,1523.48,PayPal
PAY-00025,INV-00033,2023-01-26,2949.74,PayPal
PAY-00026,INV-00034,2023-01-27,2775.22,Credit Card
PAY-00027,INV-00035,2023-01-28,1742.47,Credit Card
PAY-00028,INV-00037,2023-01-29,4552.06,Credit Card
PAY-00029,INV-00039,2023-01-30,2151.81,Bank Transfer
PAY-00030,INV-00040,2023-01-31,2169.05,Credit Card
PAY-00031,INV-00043,2023-02-01,752.41,Bank Transfer
PAY-00032,INV-00045,2023-02-02,2086.48,Credit Card
PAY-00033,INV-00049,2023-02-03,4310.3,PayPal
PAY-00034,INV-00050,2023-02-04,794.13,Credit Card
PAY-00035,INV-00052,2023-02-05,2485.89,Credit Card
PAY-00036,INV-00053,2023-02-06,3506.1,Credit Card
PAY-00037,INV-00054,2023-02-07,2775.64,Credit Card
PAY-00038,INV-00055,2023-02-08,2745.63,PayPal
PAY-00039,INV-00056,2023-02-09,2504.38,Bank Transfer
PAY-00040,INV-00057,2023-02-10,3344.2,PayPal
PAY-00041,INV-00059,2023-02-11,4838.85,PayPal
PAY-00042,INV-00064,2023-02-12,4832.61,Credit Card
PAY-00043,INV-00065,2023-02-13,4507.16,Bank Transfer
PAY-00044,INV-00068,2023-02-14,2708.78,Credit Card
PAY-00045,INV-00069,2023-02-15,4485.6,Bank Transfer
PAY-00046,INV-00070,2023-02-16,4354.63,PayPal
PAY-00047,INV-00074,2023-02-17,2809.04,Bank Transfer
PAY-00048,INV-00076,2023-02-18,1844.59,PayPal
PAY-00049,INV-00077,2023-02-19,2736.67,Bank Transfer
PAY-00050,INV-00078,2023-02-20,1648.32,PayPal
PAY-00051,INV-00079,2023-02-21,4169.09,Credit Card
PAY-00052,INV-00083,2023-02-22,1573.67,Credit Card
PAY-00053,INV-00084,2023-02-23,2639.92,PayPal
PAY-00054,INV-00085,2023-02-24,2447.88,Bank Transfer
PAY-00055,INV-00086,2023-02-25,1576.4,PayPal
PAY-00056,INV-00088,2023-02-26,829.32,Bank Transfer
PAY-00057,INV-00089,2023-02-27,1413.19,Credit Card
PAY-00058,INV-00090,2023-02-28,3560.22,Credit Card
PAY-00059,INV-00091,2023-03-01,4345.21,PayPal
PAY-00060,INV-00093,2023-03-02,4512.14,PayPal
PAY-00061,INV-00094,2023-03-03,3911.74,PayPal
PAY-00062,INV-00096,2023-03-04,4706.73,Credit Card
PAY-00063,INV-00097,2023-03-05,4706.82,Credit Card
PAY-00064,INV-00098,2023-03-06,2003.89,PayPal
PAY-00065,INV-00099,2023-03-07,4087.15,Credit Card
PAY-00066,INV-00100,2023-03-08,1803.65,Bank Transfer
PAY-00067,INV-00103,2023-03-09,2093.07,Bank Transfer
PAY-00068,INV-00104,2023-03-10,2880.48,PayPal
PAY-00069,INV-00109,2023-03-11,4800.9,Credit Card
PAY-00070,INV-00112,2023-03-12,2926.35,Bank Transfer
PAY-00071,INV-00113,2023-03-13,2768.86,Bank Transfer
PAY-00072,INV-00114,2023-03-14,2591.44,PayPal
PAY-00073,INV-00117,2023-03-15,1993.35,PayPal
PAY-00074,INV-00118,2023-03-16,3035.47,PayPal
PAY-00075,INV-00119,2023-03-17,4182.01,Credit Card
PAY-00076,INV-00121,2023-03-18,4558.17,PayPal
PAY-00077,INV-00125,2023-03-19,2235.34,Credit Card
PAY-00078,INV-00127,2023-03-20,4641.1,Credit Card
PAY-00079,INV-00129,2023-03-21,4410.43,PayPal
PAY-00080,INV-00130,2023-03-22,2588.47,Credit Card
PAY-00081,INV-00132,2023-03-23,3288.02,Credit Card
PAY-00082,INV-00133,2023-03-24,4606.03,PayPal
PAY-00083,INV-00134,2023-03-25,1475.56,Credit Card
PAY-00084,INV-00137,2023-03-26,1554.51,Credit Card
PAY-00085,INV-00138,2023-03-27,4672.25,Credit Card
PAY-00086,INV-00140,2023-03-28,518.27,Credit Card
PAY-00087,INV-00142,2023-03-29,3471.27,Bank Transfer
PAY-00088,INV-00143,2023-03-30,2533.35,Credit Card
PAY-00089,INV-00144,2023-03-31,3816.1,PayPal
PAY-00090,INV-00147,2023-04-01,2236.34,PayPal
PAY-00091,INV-00148,2023-04-02,4307.96,PayPal
PAY-00092,INV-00152,2023-04-03,1909.19,Bank Transfer
PAY-00093,INV-00153,2023-04-04,2883.55,Bank Transfer
PAY-00094,INV-00154,2023-04-05,2173.09,Bank Transfer
PAY-00095,INV-00156,2023-04-06,2763.39,PayPal
PAY-00096,INV-00157,2023-04-07,3505.36,PayPal
PAY-00097,INV-00159,2023-04-08,1546.84,PayPal
PAY-00098,INV-00160,2023-04-09,2950.46,PayPal
PAY-00099,INV-00161,2023-04-10,3575.29,PayPal
PAY-00100,INV-00163,2023-04-11,1802.88,Bank Transfer
PAY-00101,INV-00164,2023-04-12,2940.1,Bank Transfer
PAY-00102,INV-00167,2023-04-13,2709.0,Credit Card
PAY-00103,INV-00171,2023-04-14,2444.38,Credit Card
PAY-00104,INV-00174,2023-04-15,1824.39,Bank Transfer
PAY-00105,INV-00175,2023-04-16,2693.65,PayPal
PAY-00106,INV-00177,2023-04-17,3780.48,Bank Transfer
PAY-00107,INV-00178,2023-04-18,4601.46,Credit Card
PAY-00108,INV-00180,2023-04-19,743.88,PayPal
PAY-00109,INV-00181,2023-04-20,3177.37,Credit Card
PAY-00110,INV-00183,2023-04-21,4647.83,Bank Transfer
PAY-00111,INV-00184,2023-04-22,3593.74,PayPal
PAY-00112,INV-00185,2023-04-23,3492.85,PayPal
PAY-00113,INV-00187,2023-04-24,676.94,Credit Card
PAY-00114,INV-00189,2023-04-25,3639.36,Bank Transfer
PAY-00115,INV-00190,2023-04-26,4840.15,Credit Card
PAY-00116,INV-00191,2023-04-27,4564.13,Credit Card
PAY-00117,INV-00193,2023-04-28,3182.88,PayPal
PAY-00118,INV-00194,2023-04-29,3257.6,PayPal
PAY-00119,INV-00197,2023-04-30,2733.23,PayPal
PAY-00120,INV-00198,2023-05-01,3191.73,Bank Transfer
PAY-00121,INV-00200,2023-05-02,960.13,Credit Card
PAY-00122,INV-00202,2023-05-03,4506.92,Credit Card
PAY-00123,INV-00204,2023-05-04,4761.94,Credit Card
PAY-00124,INV-00206,2023-05-05,3343.21,Credit Card
PAY-00125,INV-00208,2023-05-06,1964.41,PayPal
PAY-00126,INV-00209,2023-05-07,1295.55,Bank Transfer
PAY-00127,INV-00211,2023-05-08,4949.32,PayPal
PAY-00128,INV-00212,2023-05-09,3121.11,PayPal
PAY-00129,INV-00215,2023-05-10,2128.07,Credit Card
PAY-00130,INV-00218,2023-05-11,1999.26,Credit Card
PAY-00131,INV-00220,2023-05-12,4744.71,PayPal
PAY-00132,INV-00221,2023-05-13,2872.49,Credit Card
PAY-00133,INV-00226,2023-05-14,3120.8,PayPal
PAY-00134,INV-00228,2023-05-15,3728.48,PayPal
PAY-00135,INV-00229,2023-05-16,3964.9,Credit Card
PAY-00136,INV-00230,2023-05-17,3714.14,Credit Card
PAY-00137,INV-00233,2023-05-18,569.0,Credit Card
PAY-00138,INV-00234,2023-05-19,4284.18,Bank Transfer
PAY-00139,INV-00235,2023-05-20,4243.33,Bank Transfer
PAY-00140,INV-00238,2023-05-21,3775.76,Credit Card
PAY-00141,INV-00242,2023-05-22,938.8,PayPal
PAY-00142,INV-00244,2023-05-23,4842.88,Bank Transfer
